id,name,power-level,birthday,image,created_at,updated_at
1,Superman,100,1980-07-01,superman.png,2022-04-27 10:00:00,2022-04-27 10:00:00
2,Batman,95,1978-05-05,batman.png,2022-04-27 10:00:00,2022-04-27 10:00:00
3,Wonder Woman,90,1985-10-21,wonderwoman.png,2022-04-27 10:00:00,2022-04-27 10:00:00
4,Spider-man,97,1985-10-21,spiderman.png,2022-04-27 10:00:00,2022-04-27 10:00:00
5,Aquaman,89,1985-10-21,aquaman.png,2022-04-27 10:00:00,2022-04-27 10:00:00
6,Wolverine,93,1985-10-21,wolverine.png,2022-04-27 10:00:00,2022-04-27 10:00:00
7,Red tornado,80,1985-10-21,redtornado.png,2022-04-27 10:00:00,2022-04-27 10:00:00
8,Doctor Strange,99,1985-10-21,doctorstrange.png,2022-04-27 10:00:00,2022-04-27 10:00:00
9,Doctor Fate,99,1985-10-21,doctorfate.png,2022-04-27 10:00:00,2022-04-27 10:00:00
10,Groot,78,1985-10-21,groot.png,2022-04-27 10:00:00,2022-04-27 10:00:00
11,Supergirl,100,1985-10-21,Supergirl.png,2022-04-27 10:00:00,2022-04-27 10:00:00
12,Black Widow,70,1985-10-21,blackwidow.png,2022-04-27 10:00:00,2022-04-27 10:00:00
